icao,season,period,n_comparable,correct,false_positive,miss,pct_correct
SBUF,Inverno,TODOS,0,0,0,0,
SBUF,Primavera,00-06,0,0,0,0,
SBUF,Primavera,06-12,0,0,0,0,
SBUF,Primavera,12-18,0,0,0,0,
SBUF,Primavera,18-24,0,0,0,0,
SBUF,Primavera,TODOS,0,0,0,0,
SBUF,TODAS,00-06,0,0,0,0,
SBUF,TODAS,06-12,0,0,0,0,
SBUF,TODAS,12-18,0,0,0,0,
SBUF,TODAS,18-24,0,0,0,0,
SBUF,TODAS,TODOS,0,0,0,0,
SBUL,Verao,00-06,0,0,0,0,
SBUL,Verao,06-12,1,1,0,0,100.0
SBUL,Verao,12-18,78,65,3,10,83.3
SBUL,Verao,18-24,17,11,4,2,64.7
SBUL,Verao,TODOS,96,77,7,12,80.2
SBUL,Outono,00-06,0,0,0,0,
SBUL,Outono,06-12,1,1,0,0,100.0
SBUL,Outono,12-18,99,95,0,4,96.0
SBUL,Outono,18-24,7,7,0,0,100.0
SBUL,Outono,TODOS,107,103,0,4,96.3
SBUL,Inverno,00-06,1,1,0,0,100.0
SBUL,Inverno,06-12,2,2,0,0,100.0
SBUL,Inverno,12-18,96,94,0,2,97.9
SBUL,Inverno,18-24,41,40,1,0,97.6
SBUL,Inverno,TODOS,140,137,1,2,97.9
SBUL,Primavera,00-06,1,1,0,0,100.0
SBUL,Primavera,06-12,3,3,0,0,100.0
SBUL,Primavera,12-18,29,25,2,2,86.2
SBUL,Primavera,18-24,61,50,9,2,82.0
SBUL,Primavera,TODOS,94,79,11,4,84.0
SBUL,TODAS,00-06,2,2,0,0,100.0
SBUL,TODAS,06-12,7,7,0,0,100.0
SBUL,TODAS,12-18,302,279,5,18,92.4
SBUL,TODAS,18-24,126,108,14,4,85.7
SBUL,TODAS,TODOS,437,396,19,22,90.6
SBUR,Verao,00-06,226,178,23,25,78.8
SBUR,Verao,06-12,5,3,0,2,60.0
SBUR,Verao,12-18,319,268,14,37,84.0
SBUR,Verao,18-24,376,219,95,62,58.2
SBUR,Verao,TODOS,926,668,132,126,72.1
SBUR,Outono,00-06,268,259,3,6,96.6
SBUR,Outono,06-12,1,1,0,0,100.0
SBUR,Outono,12-18,341,321,6,14,94.1
SBUR,Outono,18-24,403,349,39,15,86.6
SBUR,Outono,TODOS,1013,930,48,35,91.8
SBUR,Inverno,00-06,320,312,4,4,97.5
SBUR,Inverno,06-12,9,8,0,1,88.9
SBUR,Inverno,12-18,410,401,0,9,97.8
SBUR,Inverno,18-24,462,446,10,6,96.5
SBUR,Inverno,TODOS,1201,1167,14,20,97.2
SBUR,Primavera,00-06,290,261,11,18,90.0
SBUR,Primavera,06-12,13,11,0,2,84.6
SBUR,Primavera,12-18,375,337,8,30,89.9
SBUR,Primavera,18-24,356,279,46,31,78.4
SBUR,Primavera,TODOS,1034,888,65,81,85.9
SBUR,TODAS,00-06,1104,1010,41,53,91.5
SBUR,TODAS,06-12,28,23,0,5,82.1
SBUR,TODAS,12-18,1445,1327,28,90,91.8
SBUR,TODAS,18-24,1597,1293,190,114,81.0
SBUR,TODAS,TODOS,4174,3653,259,262,87.5
SBVT,Verao,00-06,3,3,0,0,100.0
SBVT,Verao,06-12,8,6,1,1,75.0
SBVT,Verao,12-18,11,11,0,0,100.0
