icao,season,period,n_comparable,correct,false_positive,miss,pct_correct
SBTC,Primavera,12-18,0,0,0,0,
SBTC,Primavera,18-24,0,0,0,0,
SBTC,Primavera,TODOS,0,0,0,0,
SBTC,TODAS,00-06,0,0,0,0,
SBTC,TODAS,06-12,0,0,0,0,
SBTC,TODAS,12-18,0,0,0,0,
SBTC,TODAS,18-24,0,0,0,0,
SBTC,TODAS,TODOS,0,0,0,0,
SBTD,Verao,00-06,0,0,0,0,
SBTD,Verao,06-12,0,0,0,0,
SBTD,Verao,12-18,0,0,0,0,
SBTD,Verao,18-24,0,0,0,0,
SBTD,Verao,TODOS,0,0,0,0,
SBTD,Outono,00-06,0,0,0,0,
SBTD,Outono,06-12,0,0,0,0,
SBTD,Outono,12-18,0,0,0,0,
SBTD,Outono,18-24,0,0,0,0,
SBTD,Outono,TODOS,0,0,0,0,
SBTD,Inverno,00-06,0,0,0,0,
SBTD,Inverno,06-12,0,0,0,0,
SBTD,Inverno,12-18,0,0,0,0,
SBTD,Inverno,18-24,0,0,0,0,
SBTD,Inverno,TODOS,0,0,0,0,
SBTD,Primavera,00-06,0,0,0,0,
SBTD,Primavera,06-12,0,0,0,0,
SBTD,Primavera,12-18,0,0,0,0,
SBTD,Primavera,18-24,0,0,0,0,
SBTD,Primavera,TODOS,0,0,0,0,
SBTD,TODAS,00-06,0,0,0,0,
SBTD,TODAS,06-12,0,0,0,0,
SBTD,TODAS,12-18,0,0,0,0,
SBTD,TODAS,18-24,0,0,0,0,
SBTD,TODAS,TODOS,0,0,0,0,
SBTG,Verao,00-06,0,0,0,0,
SBTG,Verao,06-12,0,0,0,0,
SBTG,Verao,12-18,0,0,0,0,
SBTG,Verao,18-24,0,0,0,0,
SBTG,Verao,TODOS,0,0,0,0,
SBTG,Outono,00-06,0,0,0,0,
SBTG,Outono,06-12,0,0,0,0,
SBTG,Outono,12-18,0,0,0,0,
SBTG,Outono,18-24,0,0,0,0,
SBTG,Outono,TODOS,0,0,0,0,
SBTG,Inverno,00-06,0,0,0,0,
SBTG,Inverno,06-12,0,0,0,0,
SBTG,Inverno,12-18,0,0,0,0,
SBTG,Inverno,18-24,0,0,0,0,
SBTG,Inverno,TODOS,0,0,0,0,
SBTG,Primavera,00-06,0,0,0,0,
SBTG,Primavera,06-12,0,0,0,0,
SBTG,Primavera,12-18,0,0,0,0,
SBTG,Primavera,18-24,0,0,0,0,
SBTG,Primavera,TODOS,0,0,0,0,
SBTG,TODAS,00-06,0,0,0,0,
SBTG,TODAS,06-12,0,0,0,0,
SBTG,TODAS,12-18,0,0,0,0,
SBTG,TODAS,18-24,0,0,0,0,
SBTG,TODAS,TODOS,0,0,0,0,
SBTT,Verao,00-06,0,0,0,0,
SBTT,Verao,06-12,0,0,0,0,
SBTT,Verao,12-18,0,0,0,0,
SBTT,Verao,18-24,0,0,0,0,
SBTT,Verao,TODOS,0,0,0,0,
SBTT,Outono,00-06,0,0,0,0,
SBTT,Outono,06-12,0,0,0,0,
SBTT,Outono,12-18,0,0,0,0,
SBTT,Outono,18-24,0,0,0,0,
SBTT,Outono,TODOS,0,0,0,0,
SBTT,Inverno,00-06,0,0,0,0,
SBTT,Inverno,06-12,0,0,0,0,
SBTT,Inverno,12-18,0,0,0,0,
SBTT,Inverno,18-24,0,0,0,0,
SBTT,Inverno,TODOS,0,0,0,0,
SBTT,Primavera,00-06,0,0,0,0,
SBTT,Primavera,06-12,0,0,0,0,
SBTT,Primavera,12-18,0,0,0,0,
SBTT,Primavera,18-24,0,0,0,0,
SBTT,Primavera,TODOS,0,0,0,0,
SBTT,TODAS,00-06,0,0,0,0,
SBTT,TODAS,06-12,0,0,0,0,
SBTT,TODAS,12-18,0,0,0,0,
SBTT,TODAS,18-24,0,0,0,0,
SBTT,TODAS,TODOS,0,0,0,0,
SBTU,Verao,00-06,0,0,0,0,
SBTU,Verao,06-12,0,0,0,0,
