ident,latitude_deg,longitude_deg,iata_code
SBCZ,-7.59991,-72.769501,CZS
SBIH,-4.242131,-56.000651,ITB
SBCJ,-6.117841,-50.003372,CKS
SBUF,-9.40088,-38.250599,PAV
SBTU,-3.78601,-49.720299,TUR
SBUG,-29.7822,-57.0382,URG
SBCO,-29.945928,-51.144413,QNS
SBLP,-13.2621,-43.4081,LAZ
SBBZ,-22.770881,-41.96308,BZC
SBAA,-8.34835,-49.301498,CDJ
SBST,-23.928192,-46.300195,SSZ
SBJI,-10.870743,-61.846675,JPR
SBJU,-7.21932,-39.269096,JDO
SNPP,-13.428781,-38.913689,
SBCN,-17.725096,-48.606324,CLV
SSCN,-29.370091,-50.831729,CEL
SBJA,-28.6753,-49.0596,JJG
SNVB,-13.2965,-38.992401,VAL
SSOG,-23.352636,-51.491967,APX
SNDH,-12.162858,-45.033695,
SSBG,-29.147424,-51.540791,BGV
SJWQ,-21.21655,-50.305613,
SDVH,-23.0054,-46.636913,
